"REPORT_ID","Unit No","No Of Cas","Veh Reg State","Unit Type","Veh Year","Direction Of Travel","Sex","Age","Lic State","Licence Class","Licence Type","Towing","Unit Movement","Number Occupants","Postcode","Rollover","Fire"
"2017-10068-15/08/2019","01",1,"SA","Motor Cycle","2016","South","Male","038","SA","HRR ","Full","Not Towing","Straight Ahead","001","5039",,
"2017-10068-15/08/2019","02",0,"SA","Motor Cars - Sedan","2007","West","Female","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","004","5076",,
"2017-10069-15/08/2019","01",0,"SA","Utility","2015","South West","Female","053","SA","C ","Full","Not Towing","Leaving Private Driveway","001","5172",,
"2017-10069-15/08/2019","02",0,"SA","Motor Cars - Sedan","2007","South East","Male","025","SA","C ","Full","Not Towing","Straight Ahead","001","5162",,
"2017-10070-15/08/2019","01",0,"SA","Motor Cars - Sedan","2008","West","Female","018","SA","HC","Full","Not Towing","Straight Ahead","002","5084",,
"2017-10070-15/08/2019","02",0,"SA","OMNIBUS","2003","West","Male","059","SA","HC","Full","Not Towing","Swerving","006","XXXX",,
"2017-10071-15/08/2019","01",0,"SA","Motor Cars - Sedan","2004","South East",,,,,,"Trailer","Parked","000",,,
"2017-10071-15/08/2019","02",0,"SA","Motor Cars - Sedan","2002","South East","Male","028","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5108",,
"2017-10072-15/08/2019","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2010","South West","Male","054","SA","MC","Full","Not Towing","Right Turn","001","5107",,
"2017-10072-15/08/2019","02",0,"SA","Panel Van","2012","North West",,,,,,"Unknown","Parked","000",,,
"2017-10072-15/08/2019","03",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North West",,,,,,"Unknown","Parked","000",,,
"2017-10073-15/08/2019","01",0,"SA","RIGID TRUCK LGE GE 4.5T","2016","North","Male","069","SA","C R ","Unlicenced","Not Towing","Swerving","001","5731",,
"2017-10074-15/08/2019","01",1,"SA","Motor Cars - Sedan","2008","East","Female","017","SA","C ","Provisional 1 ","Not Towing","Straight Ahead","001","XXXX","Y",
"2017-10074-15/08/2019","02",0,,"Tree",,,,,,,,,,,,,
"2017-10075-15/08/2019","01",0,"SA","Station Wagon","2012","South","Male","049","SA","C ","Full","Not Towing","Stopped on Carriageway","001","5016",,
"2017-10075-15/08/2019","02",0,"SA","Motor Cars - Sedan","1998","South","Male","020","SA","C ","Provisional 2","Not Towing","Straight Ahead","001","5024",,
"2017-10076-15/08/2019","01",1,"SA","Motor Cars - Sedan","2012","West","Female","066","SA","C ","Full","Not Towing","Straight Ahead","001","5090",,
"2017-10076-15/08/2019","02",0,"SA","Motor Cars - Sedan","2017","North","Female","047","SA","C ","Full","Not Towing","Right Turn","001","5076",,
"2017-10077-15/08/2019","01",0,"SA","Station Wagon","2009","North East","Male","037","SA","C ","Full","Not Towing","Left Turn","001","5037",,
"2017-10077-15/08/2019","02",0,"UNKNOWN","Motor Vehicle - Type Unknown","XXXX","North East","Unknown","XXX","UNKNOWN","XX","Unknown","Unknown","Stopped on Carriageway","001","XXXX",,
"2017-10078-15/08/2019","01",0,"SA","SEMI TRAILER","2005","South East","Male","049","TAS","MC","Full","Trailer","U Turn","001","XXXX",,
"2017-10078-15/08/2019","02",0,"SA","Station Wagon","2007","South East","Female","048","SA","C ","Full","Not Towing","U Turn","001","5007",,
